img_path,timestamp,x,y,z,layer_height,extrusion_e,extrusion_rate,speed_f,nozzle_tip_x,nozzle_tip_y,layer_height_class,extrusion_class
dataset_filtered/A1k_000.jpg,2024-10-24_14-32-01,-4.391749,-39.41855,1.593562,0.6,9.28,0.2,1800,639,366,1,1
dataset_filtered/A1k_001.jpg,2024-10-24_14-32-03,-39.997057,19.839922,1.756652,0.6,24.75,0.2,1800,639,366,1,1
dataset_filtered/A1k_002.jpg,2024-10-24_14-32-06,18.192883,35.623293,1.923176,0.6,40.48,0.2,1800,639,366,1,1
dataset_filtered/A1k_003.jpg,2024-10-24_14-32-08,15.151985,-39.79929,2.152361,0.6,62.24,0.2,1800,639,366,1,1
dataset_filtered/A1k_004.jpg,2024-10-24_14-32-11,-8.311816,-38.442089,2.202146,0.6,66.96,0.2,1800,639,366,1,1
dataset_filtered/A1k_005.jpg,2024-10-24_14-32-13,-39.805123,20.0,2.357511,0.6,81.68,0.2,1800,639,366,1,1
dataset_filtered/A1k_006.jpg,2024-10-24_14-32-16,22.710014,32.928026,2.534335,0.6,98.4,0.2,1800,639,366,1,1
dataset_filtered/A1k_007.jpg,2024-10-24_14-32-18,2.547488,-40.240492,2.77897,0.6,121.63,0.2,1800,639,366,1,1
dataset_filtered/A1k_008.jpg,2024-10-24_14-32-20,-22.89591,-32.348173,2.835622,0.6,127.01,0.2,1800,639,366,1,1
dataset_filtered/A1k_009.jpg,2024-10-24_14-32-23,-30.0,20.280166,2.97897,0.6,140.58,0.2,1800,639,366,1,1
dataset_filtered/A1k_010.jpg,2024-10-24_14-32-25,26.819062,29.677217,3.145494,0.6,156.36,0.2,1800,639,366,1,1
dataset_filtered/A1k_011.jpg,2024-10-24_14-32-28,12.345245,-39.647581,3.358369,0.6,176.59,0.2,1800,639,366,1,1
dataset_filtered/A1k_012.jpg,2024-10-24_14-32-30,-32.050187,-22.796054,3.463948,0.6,186.62,0.2,1800,639,366,1,1
dataset_filtered/A1k_013.jpg,2024-10-24_14-32-33,-20.282234,30.0,3.620172,0.6,201.41,0.2,1800,639,366,1,1
dataset_filtered/A1k_014.jpg,2024-10-24_14-32-35,33.622074,21.669223,3.767811,0.6,215.42,0.2,1800,639,366,1,1
dataset_filtered/A1k_015.jpg,2024-10-24_14-32-38,3.870384,-40.582101,3.976395,0.6,235.26,0.2,1800,639,366,1,1
dataset_filtered/A1k_016.jpg,2024-10-24_14-32-40,-35.225166,-15.418865,4.081116,0.6,245.22,0.2,1800,639,366,1,1
dataset_filtered/A1k_017.jpg,2024-10-24_14-32-43,-20.0701,30.025751,4.22103,0.6,258.46,0.2,1800,639,366,1,1
dataset_filtered/A1k_018.jpg,2024-10-24_14-32-45,39.382499,7.001295,4.401288,0.6,275.58,0.2,1800,639,366,1,1
dataset_filtered/A1k_019.jpg,2024-10-24_14-32-48,0.265394,-40.692756,4.58412,0.6,293.0,0.2,1800,639,366,1,1
dataset_filtered/A1k_020.jpg,2024-10-24_14-32-50,-40.444889,-2.009861,4.712017,0.6,305.18,0.2,1800,639,366,1,1
dataset_filtered/A1k_021.jpg,2024-10-24_14-32-52,-19.958413,39.941926,4.842489,0.6,317.52,0.2,1800,639,366,1,1
dataset_filtered/A1k_022.jpg,2024-10-24_14-32-55,40.0,-40.0,5.1,0.6,342.07,0.2,1800,639,366,1,1
dataset_filtered/A1k_023.jpg,2024-10-24_14-32-57,0.343357,-40.868619,5.18412,0.6,350.09,0.2,1800,639,366,1,1
dataset_filtered/A1k_024.jpg,2024-10-24_14-33-00,-38.85848,10.719678,5.339485,0.6,364.9,0.2,1800,639,366,1,1
dataset_filtered/A1k_025.jpg,2024-10-24_14-33-02,-19.406861,40.0,5.444206,0.6,374.78,0.2,1800,639,366,1,1
dataset_filtered/A1k_026.jpg,2024-10-24_14-33-05,34.382089,-41.191076,5.712017,0.6,400.37,0.2,1800,639,366,1,1
dataset_filtered/A1k_027.jpg,2024-10-24_14-33-07,1.247353,-41.116307,5.782403,0.6,407.09,0.2,1800,639,366,1,1
dataset_filtered/A1k_028.jpg,2024-10-24_14-33-10,-38.680284,13.708569,5.946352,0.6,422.75,0.2,1800,639,366,1,1
dataset_filtered/A1k_029.jpg,2024-10-24_14-33-12,2.929764,39.89242,6.091416,0.6,436.49,0.2,1800,639,366,1,1
dataset_filtered/A1k_030.jpg,2024-10-24_14-33-14,34.404733,-41.331586,6.312017,0.6,457.6,0.2,1800,639,366,1,1
dataset_filtered/A1k_031.jpg,2024-10-24_14-33-17,-11.469094,-36.021733,6.411588,0.6,467.13,0.2,1800,639,366,1,1
dataset_filtered/A1k_032.jpg,2024-10-24_14-33-19,-38.588974,14.205757,6.548069,0.6,480.18,0.2,1800,639,366,1,1
dataset_filtered/A1k_033.jpg,2024-10-24_14-33-22,21.220841,33.827642,6.732618,0.6,497.71,0.2,1800,639,366,1,1
dataset_filtered/A1k_034.jpg,2024-10-24_14-33-24,19.998954,-38.697096,6.942918,0.6,517.87,0.2,1800,639,366,1,1
dataset_filtered/A1k_035.jpg,2024-10-24_14-33-27,-20.896349,-33.845606,7.032189,0.6,526.42,0.2,1800,639,366,1,1
dataset_filtered/A1k_036.jpg,2024-10-24_14-33-29,-39.766537,20.0,7.161803,0.6,538.8,0.2,1800,639,366,1,1
dataset_filtered/A1k_037.jpg,2024-10-24_14-33-32,35.403103,18.617435,7.376395,0.6,559.27,0.2,1800,639,366,1,1
dataset_filtered/A1k_038.jpg,2024-10-24_14-33-34,16.799023,-38.231301,7.549785,0.6,575.92,0.2,1800,639,366,1,1
dataset_filtered/A1k_039.jpg,2024-10-24_14-33-37,-28.936226,-28.753954,7.65279,0.6,585.8,0.2,1800,639,366,1,1
dataset_filtered/A1k_040.jpg,2024-10-24_14-33-39,-30.017643,20.173892,7.783262,0.6,598.25,0.2,1800,639,366,1,1
dataset_filtered/A1k_041.jpg,2024-10-24_14-33-41,39.449679,6.612188,8.003004,0.6,619.26,0.2,1800,639,366,1,1
dataset_filtered/A1k_042.jpg,2024-10-24_14-33-44,-1.147705,-41.205298,8.188412,0.6,637.08,0.2,1800,639,366,1,1
dataset_filtered/A1k_043.jpg,2024-10-24_14-33-46,-30.381636,-26.537838,8.258798,0.6,643.84,0.2,1800,639,366,1,1
dataset_filtered/A1k_044.jpg,2024-10-24_14-33-49,-30.0,29.694547,8.403863,0.6,657.7,0.2,1800,639,366,1,1
dataset_filtered/A1k_045.jpg,2024-10-24_14-33-51,38.75868,9.887512,8.596137,0.6,676.1,0.2,1800,639,366,1,1
dataset_filtered/A1k_046.jpg,2024-10-24_14-33-54,-10.70912,-35.846194,8.811588,0.6,696.82,0.2,1800,639,366,1,1
dataset_filtered/A1k_047.jpg,2024-10-24_14-33-56,-34.37168,-14.694128,8.885408,0.6,703.91,0.2,1800,639,366,1,1
dataset_filtered/A1k_048.jpg,2024-10-24_14-33-59,-20.0,30.502906,9.027039,0.6,717.41,0.2,1800,639,366,1,1
dataset_filtered/A1k_049.jpg,2024-10-24_14-34-02,34.926519,-41.756646,9.311159,0.6,744.72,0.2,1800,639,366,1,1
dataset_filtered/A1k_050.jpg,2024-10-24_14-34-04,-14.065408,-34.679676,9.419313,0.6,755.12,0.2,1800,639,366,1,1
dataset_filtered/A1k_051.jpg,2024-10-24_14-34-07,-37.902016,12.523641,9.548069,0.6,767.5,0.2,1800,639,366,1,1
dataset_filtered/A1k_052.jpg,2024-10-24_14-34-09,14.175333,36.827613,9.719742,0.6,783.88,0.2,1800,639,366,1,1
dataset_filtered/A1k_053.jpg,2024-10-24_14-34-12,2.001698,-41.954115,9.982403,0.6,809.17,0.2,1800,639,366,1,1
dataset_filtered/A1k_054.jpg,2024-10-24_14-34-15,-24.447698,-32.824299,10.041631,0.6,814.86,0.2,1800,639,366,1,1
dataset_filtered/A1k_055.jpg,2024-10-24_14-34-17,-30.336622,20.0,10.184979,0.6,828.61,0.2,1800,639,366,1,1
dataset_filtered/A1k_056.jpg,2024-10-24_14-34-20,38.304382,11.523187,10.392704,0.6,848.5,0.2,1800,639,366,1,1
dataset_filtered/A1k_057.jpg,2024-10-24_14-34-22,-6.220893,-38.673937,10.601288,0.6,868.58,0.2,1800,639,366,1,1
dataset_filtered/A1k_058.jpg,2024-10-24_14-34-25,-29.117102,-29.086476,10.654506,0.6,873.69,0.2,1800,639,366,1,1
dataset_filtered/A1k_059.jpg,2024-10-24_14-34-27,-29.428729,30.0,10.808155,0.6,888.39,0.2,1800,639,366,1,1
dataset_filtered/A1k_060.jpg,2024-10-24_14-34-30,40.0,-1.151052,11.019313,0.6,908.66,0.2,1800,639,366,1,1
dataset_filtered/A1k_061.jpg,2024-10-24_14-34-32,-2.627557,-40.857134,11.192704,0.6,925.34,0.2,1800,639,366,1,1
dataset_filtered/A1k_062.jpg,2024-10-24_14-34-35,-36.072151,-12.293889,11.293133,0.6,934.99,0.2,1800,639,366,1,1
dataset_filtered/A1k_063.jpg,2024-10-24_14-34-37,-19.819603,40.0,11.449356,0.6,949.9,0.2,1800,639,366,1,1
dataset_filtered/A1k_064.jpg,2024-10-24_14-34-40,11.574032,-39.031748,11.761803,0.6,979.92,0.2,1800,639,366,1,1
dataset_filtered/A1k_065.jpg,2024-10-24_14-34-43,-27.032821,-31.348668,11.848498,0.6,988.25,0.2,1800,639,366,1,1
dataset_filtered/A1k_066.jpg,2024-10-24_14-34-45,-40.486847,3.088308,11.929185,0.6,995.99,0.2,1800,639,366,1,1
dataset_filtered/A1k_067.jpg,2024-10-24_14-34-48,8.684137,38.846775,12.109442,0.6,1013.21,0.2,1800,639,366,1,1
dataset_filtered/A1k_068.jpg,2024-10-24_14-34-50,-0.227891,-41.714511,12.387554,0.6,1039.89,0.2,1800,639,366,1,1
dataset_filtered/A1k_069.jpg,2024-10-24_14-34-53,-31.657334,-22.874422,12.469099,0.6,1047.71,0.2,1800,639,366,1,1
dataset_filtered/A1k_070.jpg,2024-10-24_14-34-55,-30.182849,20.0,12.586695,0.6,1058.96,0.2,1800,639,366,1,1
dataset_filtered/A1k_071.jpg,2024-10-24_14-34-58,39.620969,-40.159795,12.900858,0.6,1088.99,0.2,1800,639,366,1,1
dataset_filtered/A1k_072.jpg,2024-10-24_14-35-01,-24.471681,-32.807268,13.042489,0.6,1102.54,0.2,1800,639,366,1,1
